0,/dataset/ACRIMA/Glaucoma/Im422_g_ACRIMA.jpg
1,/dataset/ACRIMA/Glaucoma/Im367_g_ACRIMA.jpg
2,/dataset/ACRIMA/Glaucoma/Im557_g_ACRIMA.jpg
3,/dataset/ACRIMA/Glaucoma/Im598_g_ACRIMA.jpg
4,/dataset/ACRIMA/Glaucoma/Im310_g_ACRIMA.jpg
5,/dataset/ACRIMA/Glaucoma/Im380_g_ACRIMA.jpg
6,/dataset/ACRIMA/Glaucoma/Im400_g_ACRIMA.jpg
7,/dataset/ACRIMA/Glaucoma/Im599_g_ACRIMA.jpg
8,/dataset/ACRIMA/Glaucoma/Im433_g_ACRIMA.jpg
9,/dataset/ACRIMA/Glaucoma/Im419_g_ACRIMA.jpg
10,/dataset/ACRIMA/Glaucoma/Im578_g_ACRIMA.jpg
11,/dataset/ACRIMA/Glaucoma/Im358_g_ACRIMA.jpg
12,/dataset/ACRIMA/Glaucoma/Im660_g_ACRIMA.jpg
13,/dataset/ACRIMA/Glaucoma/Im447_g_ACRIMA.jpg
14,/dataset/ACRIMA/Glaucoma/Im498_g_ACRIMA.jpg
15,/dataset/ACRIMA/Glaucoma/Im394_g_ACRIMA.jpg
