0,/dataset/ACRIMA/Healthy/Im061_ACRIMA.jpg
1,/dataset/ACRIMA/Healthy/Im170_ACRIMA.jpg
2,/dataset/ACRIMA/Healthy/Im121_ACRIMA.jpg
3,/dataset/ACRIMA/Healthy/Im302_ACRIMA.jpg
4,/dataset/ACRIMA/Healthy/Im294_ACRIMA.jpg
5,/dataset/ACRIMA/Healthy/Im177_ACRIMA.jpg
6,/dataset/ACRIMA/Healthy/Im058_ACRIMA.jpg
7,/dataset/ACRIMA/Healthy/Im153_ACRIMA.jpg
8,/dataset/ACRIMA/Healthy/Im001_ACRIMA.jpg
9,/dataset/ACRIMA/Healthy/Im296_ACRIMA.jpg
10,/dataset/ACRIMA/Healthy/Im215_ACRIMA.jpg
11,/dataset/ACRIMA/Healthy/Im079_ACRIMA.jpg
12,/dataset/ACRIMA/Healthy/Im152_ACRIMA.jpg
13,/dataset/ACRIMA/Healthy/Im288_ACRIMA.jpg
14,/dataset/ACRIMA/Healthy/Im056_ACRIMA.jpg
15,/dataset/ACRIMA/Healthy/Im093_ACRIMA.jpg
